Agent,Income,Distance,Price_iterative,Prices_recursive,Prices_memo
638,151.46595001551145,3.9235784042830084,138.17313478921696,138.17313478921696,138.17313478921696
639,151.18636121993526,3.9323539250594317,138.05843440860585,138.05843440860585,138.05843440860585
640,151.03888159048796,3.9450584845065118,137.89247153541498,137.89247153541498,137.89247153541498
641,150.92460635180592,3.9607886727373436,137.68585278623604,137.68585278623604,137.68585278623604
642,150.78285208681865,3.9627266498042877,137.6604464914891,137.6604464914891,137.6604464914891
643,150.7819368348389,3.9655455397152073,137.6234062731223,137.6234062731223,137.6234062731223
644,150.74935032465635,3.967803496413031,137.59373497418807,137.59373497418807,137.59373497418807
645,150.74587343810225,3.978926022415463,137.44663341819333,137.44663341819333,137.44663341819333
646,150.72093383438607,3.986537779751603,137.34520713821257,137.34520713821257,137.34520713821257
647,150.65690908657098,3.9865816307653015,137.34462339378928,137.34462339378928,137.34462339378928
648,150.38891133777918,3.9929811610057446,137.26087840012437,137.26087840012437,137.26087840012437
649,150.31711791990844,3.997119901674684,137.20673003491285,137.20673003491285,137.20673003491285
650,150.26476157979067,4.008815168996217,137.05311633961398,137.05311633961398,137.05311633961398
651,150.22098100191954,4.009245890448106,137.04744343619544,137.04744343619544,137.04744343619544
652,150.1997475499562,4.016399777908988,136.95301597371227,136.95301597371227,136.95301597371227
653,149.68825900489293,4.039727830964193,136.65243519763,136.65243519763,136.65243519763
654,149.46928905223467,4.044395028708431,136.59247659574433,136.59247659574433,136.59247659574433
655,149.32928456802946,4.050072908315619,136.51995283775142,136.51995283775142,136.51995283775142
656,149.3163493840859,4.056063062638728,136.44307040874276,136.44307040874276,136.44307040874276
657,149.30931659113477,4.060793248874298,136.3820665019724,136.3820665019724,136.3820665019724
658,149.21228769875802,4.06271956718646,136.35732759207426,136.35732759207426,136.35732759207426
659,149.0558901860928,4.078236019437006,136.15875435992592,136.15875435992592,136.15875435992592
660,148.82702425088598,4.088428259545213,136.028976069156,136.028976069156,136.028976069156
661,148.79631060675888,4.091761882726215,135.98634356591268,135.98634356591268,135.98634356591268
662,148.67002530654304,4.112227103524001,135.72409488292845,135.72409488292845,135.72409488292845
663,148.6103408834116,4.116121294732587,135.67381554189714,135.67381554189714,135.67381554189714
664,148.31905812683092,4.1176296120397,135.65472811232215,135.65472811232215,135.65472811232215
665,148.31315701287227,4.119824999925334,135.62690742343506,135.62690742343506,135.62690742343506
666,148.30611740827027,4.1215274413834635,135.60530342614814,135.60530342614814,135.60530342614814
667,148.29016154409462,4.127171316985877,135.53350925678927,135.53350925678927,135.53350925678927
668,148.15487425015937,4.128392218818536,135.5180903985974,135.5180903985974,135.5180903985974
669,148.08753499934764,4.133443098509961,135.45444304387624,135.45444304387624,135.45444304387624
670,148.0714382871522,4.147764581311632,135.27244886085697,135.27244886085697,135.27244886085697
671,148.04869060441237,4.150334230842871,135.23957617970325,135.23957617970325,135.23957617970325
672,147.96562182153065,4.154561327887306,135.18566809269637,135.18566809269637,135.18566809269637
673,147.88570003628155,4.161059291975618,135.1028750393807,135.1028750393807,135.1028750393807
674,147.84063226563825,4.162045833074612,135.09030251773302,135.09030251773302,135.09030251773302
675,147.64082148092618,4.168393358759893,135.01038440344104,135.01038440344104,135.01038440344104
676,147.5593762520698,4.168642767152849,135.0072541892162,135.0072541892162,135.0072541892162
677,147.54741745121325,4.175147725367435,134.92541505971548,134.92541505971548,134.92541505971548
678,147.43978785194014,4.176309652444602,134.9108658201736,134.9108658201736,134.9108658201736
679,147.39410093758,4.17804121776782,134.88923155795914,134.88923155795914,134.88923155795914
680,147.34641414520806,4.186465586841656,134.78384436720532,134.78384436720532,134.78384436720532
681,147.24593624686437,4.188876108269187,134.75376799238808,134.75376799238808,134.75376799238808
682,147.14603869174658,4.19074848252376,134.73054328789058,134.73054328789058,134.73054328789058
683,147.09016665782357,4.194314887449277,134.68638517016706,134.68638517016706,134.68638517016706
684,146.9828821049443,4.201250514937404,134.6008048143396,134.6008048143396,134.6008048143396
685,146.957652612029,4.202373290854354,134.5869230516268,134.5869230516268,134.5869230516268
686,146.75538249000243,4.209720591751363,134.49718846886665,134.49718846886665,134.49718846886665
687,146.45299293301716,4.2119913373820435,134.4700090310023,134.4700090310023,134.4700090310023
688,146.30320387901838,4.224008963792443,134.32694418798053,134.32694418798053,134.32694418798053
689,146.17754792974122,4.236281194287338,134.18061478982935,134.18061478982935,134.18061478982935
690,145.89502613550047,4.244177783543682,134.08774469915699,134.08774469915699,134.08774469915699
691,145.5415500909733,4.262329988253202,133.8779343801053,133.8779343801053,133.8779343801053
692,145.45439090274087,4.269372248595009,133.79612222630604,133.79612222630604,133.79612222630604
693,145.21746430171146,4.269471473957543,133.79498888327075,133.79498888327075,133.79498888327075
694,145.18265235304847,4.298323639055236,133.46164440580665,133.46164440580665,133.46164440580665
695,145.01614878026413,4.299515365836305,133.44786638531426,133.44786638531426,133.44786638531426
696,145.01613967110208,4.304686198924544,133.38789385468775,133.38789385468775,133.38789385468775
697,144.81421765167323,4.31189049175124,133.30527803516938,133.30527803516938,133.30527803516938
698,144.73259152046964,4.312712705034544,133.2958784825403,133.2958784825403,133.2958784825403
699,144.68029824120475,4.336830715212163,133.01797111551045,133.01797111551045,133.01797111551045
700,144.61990676990675,4.337091593057257,133.01494403270578,133.01494403270578,133.01494403270578
701,144.61851570365334,4.3434309658156405,132.94115101295594,132.94115101295594,132.94115101295594
702,144.40984975536998,4.344002258729574,132.93459715472423,132.93459715472423,132.93459715472423
703,144.32611389334096,4.369960324857566,132.63502406222182,132.63502406222182,132.63502406222182
704,144.2879668584257,4.387297069527244,132.43123858408018,132.43123858408018,132.43123858408018
705,144.04777415777062,4.3894990087122565,132.40563149692846,132.40563149692846,132.40563149692846
706,144.04637345324528,4.393358886517509,132.36061282802726,132.36061282802726,132.36061282802726
707,144.01618339559525,4.393882402135287,132.3545093573093,132.3545093573093,132.3545093573093
708,143.8390317898858,4.4105079423691596,132.1619769244665,132.1619769244665,132.1619769244665
709,143.66353091336137,4.422467063666781,132.02360267719152,132.02360267719152,132.02360267719152
710,143.6602747792701,4.427318873140111,131.9670065755204,131.9670065755204,131.9670065755204
711,143.62684995319808,4.436662463181017,131.85755122239544,131.85755122239544,131.85755122239544
712,143.56765359043317,4.440715787825351,131.8099900505614,131.8099900505614,131.8099900505614
713,143.4968407526948,4.445632194077151,131.7523912712247,131.7523912712247,131.7523912712247
714,143.36824998786543,4.44686931384956,131.73801217023166,131.73801217023166,131.73801217023166
715,143.352992900725,4.453841592899193,131.65674630850228,131.65674630850228,131.65674630850228
716,143.32919075054488,4.480840115216159,131.33731487144928,131.33731487144928,131.33731487144928
717,143.16640178519148,4.483416105311275,131.3068039797196,131.3068039797196,131.3068039797196
718,142.89026829855823,4.489284714573928,131.2386252923624,131.2386252923624,131.2386252923624
719,142.82579690886,4.491116979870682,131.2173750578334,131.2173750578334,131.2173750578334
720,142.7179631865143,4.507681774303876,131.02528359416695,131.02528359416695,131.02528359416695
721,142.71202831913044,4.513655924493281,130.95525625731653,130.95525625731653,130.95525625731653
722,142.3791368867419,4.5176877212070625,130.90910451823905,130.90910451823905,130.90910451823905
723,142.3446205037312,4.526173524079767,130.8116520875662,130.8116520875662,130.8116520875662
724,142.2169003546087,4.536746626060333,130.69042348267212,130.69042348267212,130.69042348267212
725,141.85487967504304,4.537521135407489,130.6817731575488,130.6817731575488,130.6817731575488
726,141.49982021861072,4.538139917074934,130.67507707685752,130.67507707685752,130.67507707685752
727,141.33016275131533,4.539891760529341,130.65639467521902,130.65639467521902,130.65639467521902
728,141.20083584034393,4.55033669372819,130.54568150231682,130.54568150231682,130.54568150231682
729,141.0319502808506,4.554883769588176,130.49789107167837,130.49789107167837,130.49789107167837
730,140.76351956724625,4.559676759088255,130.44856991862318,130.44856991862318,130.44856991862318
731,140.69319591061247,4.564680322833362,130.39718182483713,130.39718182483713,130.39718182483713
732,140.6759132121376,4.566387289744189,130.3796213871946,130.3796213871946,130.3796213871946
733,140.63490011618669,4.576151195147775,130.27899938332263,130.27899938332263,130.27899938332263
734,140.36719252717452,4.582160678647955,130.21819202567087,130.21819202567087,130.21819202567087
735,140.3008613752311,4.59214730564191,130.1169957038612,130.1169957038612,130.1169957038612
736,140.10475822805245,4.598973894912169,130.0485800944407,130.0485800944407,130.0485800944407
737,140.08278811791035,4.602846846567573,130.00964273928938,130.00964273928938,130.00964273928938
738,139.68673292330098,4.630015281424682,129.74312733506605,129.74312733506605,129.74312733506605
739,139.65485133294956,4.631359097072755,129.72979885175187,129.72979885175187,129.72979885175187
740,139.56175907477044,4.634864015634872,129.695278171116,129.695278171116,129.695278171116
741,139.53045413769482,4.666295872878479,129.38123063058944,129.38123063058944,129.38123063058944
742,139.28343811673645,4.673793020908691,129.30671333065965,129.30671333065965,129.30671333065965
743,139.26951725936982,4.674140560886418,129.3032502562606,129.3032502562606,129.3032502562606
744,139.02749705238892,4.698058276700565,129.06786476428772,129.06786476428772,129.06786476428772
745,138.9340008458019,4.702664844614243,129.02231089544352,129.02231089544352,129.02231089544352
746,138.87634745167932,4.713651864971049,128.91344744786133,128.91344744786133,128.91344744786133
747,138.8692055915868,4.715800887098423,128.89202929751912,128.89202929751912,128.89202929751912
748,138.83707480556043,4.718084315426731,128.8692945521773,128.8692945521773,128.8692945521773
749,138.68518629662339,4.722041724370758,128.83037208913987,128.83037208913987,128.83037208913987
750,138.68030561119616,4.7398571273382535,128.65331910194294,128.65331910194294,128.65331910194294
751,138.6316322030645,4.744670571322241,128.6051732701022,128.6051732701022,128.6051732701022
752,138.62145292420809,4.756174974169815,128.48927657102357,128.48927657102357,128.48927657102357
753,138.3583330487596,4.757219677532486,128.47896094708958,128.47896094708958,128.47896094708958
754,138.17344872173322,4.771141920261288,128.34304802412112,128.34304802412112,128.34304802412112
755,138.1168567659794,4.777004214057483,128.28558281136142,128.28558281136142,128.28558281136142
756,138.10706917949798,4.778176055897085,128.27406683657543,128.27406683657543,128.27406683657543
757,138.0595872732564,4.778236677460106,128.27347360505047,128.27347360505047,128.27347360505047
758,137.99187783754152,4.7847273420433485,128.21018954726966,128.21018954726966,128.21018954726966
